time_ms,timestamp,version,voltage,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,freq,is_muted
250025,2026-08-26_19-55-14.026-240,v3.0.32,3.0,400,-1714,-2284,7411,-2747,-2634,8136,-3044,-2625,7014,-2888,-2546,8122,163,710,537,-7,-631,571,851.0,5598.9,0.044,0.123,1.134,-1.751,-0.812,-3.283,477.1,0
250056,2026-08-26_19-55-14.057-240,v3.0.32,3.0,400,-1717,-2290,7413,-2747,-2634,8136,-3048,-2631,7016,-2888,-2546,8122,163,710,537,-3,-625,569,845.2,5560.7,0.041,0.137,1.132,-1.831,-0.453,-2.858,474.1,0
250102,2026-08-26_19-55-14.103-240,v3.0.32,3.0,400,-1717,-2290,7413,-2733,-2639,8136,-3048,-2631,7016,-2873,-2551,8122,163,710,537,12,-630,569,849.0,5585.5,0.041,0.119,1.135,-1.804,-0.312,-2.874,476.1,0
250129,2026-08-26_19-55-14.131-240,v3.0.32,3.0,400,-1725,-2295,7410,-2739,-2627,8134,-3055,-2635,7012,-2880,-2539,8120,163,710,537,12,-614,571,838.6,5516.8,0.036,0.137,1.135,-2.181,-0.594,-3.089,470.7,0
250172,2026-08-26_19-55-14.173-240,v3.0.32,3.0,400,-1723,-2293,7423,-2739,-2627,8134,-3055,-2634,7025,-2880,-2539,8120,163,710,537,12,-615,558,830.5,5463.8,0.043,0.131,1.130,-3.741,-0.797,-3.073,466.5,0
250204,2026-08-26_19-55-14.205-240,v3.0.32,3.0,400,-1723,-2293,7423,-2747,-2629,8133,-3055,-2634,7025,-2888,-2541,8119,163,710,537,4,-617,557,831.2,5468.7,0.047,0.107,1.130,-2.537,-0.516,-3.082,466.9,0
250230,2026-08-26_19-55-14.231-240,v3.0.32,3.0,400,-1731,-2292,7385,-2747,-2629,8133,-3057,-2632,6986,-2888,-2541,8119,163,710,537,6,-619,596,859.3,5653.4,0.037,0.116,1.135,-1.886,-0.078,-2.736,481.4,0
250257,2026-08-26_19-55-14.258-240,v3.0.32,3.0,400,-1731,-2292,7385,-2770,-2638,8132,-3057,-2632,6986,-2911,-2550,8119,163,710,537,-17,-628,596,866.0,5697.1,0.036,0.121,1.133,-1.717,-0.047,-2.599,484.8,0
250288,2026-08-26_19-55-14.289-240,v3.0.32,3.0,400,-1737,-2299,7407,-2770,-2638,8132,-3067,-2639,7007,-2911,-2550,8119,163,710,537,-7,-621,575,846.4,5568.1,0.038,0.132,1.135,-1.475,-0.781,-2.649,474.7,0
250315,2026-08-26_19-55-14.317-240,v3.0.32,3.0,400,-1733,-2289,7396,-2754,-2638,8141,-3061,-2629,6997,-2895,-2550,8127,163,710,537,3,-631,593,865.9,5696.8,0.040,0.120,1.131,-2.231,-0.922,-2.771,484.8,0
250361,2026-08-26_19-55-14.362-240,v3.0.32,3.0,400,-1733,-2289,7396,-2757,-2636,8138,-3061,-2629,6997,-2898,-2548,8124,163,710,537,0,-629,590,862.4,5673.7,0.039,0.125,1.130,-0.676,-0.641,-2.984,483.0,0
250401,2026-08-26_19-55-14.402-240,v3.0.32,3.0,400,-1738,-2295,7411,-2757,-2636,8138,-3068,-2635,7011,-2898,-2548,8124,163,710,537,7,-623,576,848.5,5582.2,0.040,0.124,1.129,-0.688,-0.578,-2.941,475.8,0
250427,2026-08-26_19-55-14.428-240,v3.0.32,3.0,400,-1704,-2309,7412,-2740,-2627,8147,-3035,-2650,7017,-2881,-2539,8133,163,710,537,-9,-599,579,833.1,5481.2,0.018,0.138,1.137,-1.225,-0.156,-2.559,467.9,0
250464,2026-08-26_19-55-14.465-240,v3.0.32,3.0,400,-1704,-2309,7412,-2740,-2627,8147,-3035,-2650,7017,-2881,-2539,8133,163,710,537,-9,-599,579,833.1,5481.2,0.041,0.133,1.132,-0.362,-0.609,-2.533,467.9,0
250489,2026-08-26_19-55-14.491-240,v3.0.32,3.0,400,-1711,-2289,7415,-2737,-2638,8143,-3042,-2630,7019,-2877,-2550,8129,163,710,537,2,-630,573,851.6,5602.7,0.033,0.124,1.134,-0.463,-0.625,-2.926,477.4,0
250522,2026-08-26_19-55-14.523-240,v3.0.32,3.0,400,-1711,-2289,7415,-2737,-2638,8143,-3042,-2630,7019,-2877,-2550,8129,163,710,537,2,-630,573,851.6,5602.7,0.040,0.131,1.132,-0.201,-0.234,-2.410,477.4,0
250572,2026-08-26_19-55-15.573-240,v3.0.32,3.0,400,-1722,-2295,7460,-2708,-2640,8148,-3061,-2637,7061,-2848,-2553,8134,163,710,537,50,-626,536,825.6,5431.8,0.041,0.134,1.130,-2.667,-0.562,-3.025,464.0,0
250599,2026-08-26_19-55-15.599-240,v3.0.32,3.0,400,-1705,-2289,7397,-2715,-2696,8138,-3033,-2629,7002,-2855,-2608,8124,163,710,537,15,-689,585,904.0,5947.2,0.039,0.119,1.134,-3.042,-0.500,-3.332,504.4,0
250635,2026-08-26_19-55-15.637-240,v3.0.32,3.0,400,-1733,-2294,7415,-2715,-2696,8138,-3064,-2634,7015,-2855,-2608,8124,163,710,537,46,-684,572,892.8,5873.9,0.041,0.121,1.133,-0.940,-0.250,-3.066,498.7,0
250685,2026-08-26_19-55-15.686-240,v3.0.32,3.0,400,-1704,-2288,7415,-2727,-2639,8140,-3035,-2629,7020,-2867,-2551,8126,163,710,537,5,-632,569,850.4,5594.9,0.038,0.120,1.134,-1.214,-0.922,-2.727,476.8,0
250727,2026-08-26_19-55-15.728-240,v3.0.32,3.0,400,-1704,-2288,7415,-2719,-2634,8151,-3035,-2629,7020,-2859,-2546,8137,163,710,537,13,-627,580,854.2,5619.9,0.042,0.122,1.133,0.419,-0.594,-2.461,478.8,0
250753,2026-08-26_19-55-15.754-240,v3.0.32,3.0,400,-1712,-2270,7418,-2719,-2634,8151,-3044,-2611,7021,-2859,-2546,8137,163,710,537,22,-645,579,867.0,5704.2,0.037,0.135,1.135,-0.222,-0.609,-2.416,485.4,0
250779,2026-08-26_19-55-15.780-240,v3.0.32,3.0,400,-1712,-2270,7418,-2711,-2634,8149,-3044,-2611,7021,-2851,-2547,8135,163,710,537,30,-646,577,866.7,5701.9,0.044,0.144,1.128,-1.204,-0.172,-3.148,485.2,0
250809,2026-08-26_19-55-15.810-240,v3.0.32,3.0,400,-1689,-2291,7420,-2711,-2634,8149,-3021,-2632,7027,-2851,-2547,8135,163,710,537,7,-625,571,846.6,5569.7,0.040,0.144,1.131,-2.888,-1.250,-3.439,474.8,0
250835,2026-08-26_19-55-15.836-240,v3.0.32,3.0,400,-1689,-2291,7420,-2707,-2636,8151,-3021,-2632,7027,-2847,-2549,8137,163,710,537,11,-627,573,849.5,5588.5,0.044,0.120,1.129,-2.422,-0.094,-2.914,476.3,0
250865,2026-08-26_19-55-15.867-240,v3.0.32,3.0,400,-1700,-2296,7412,-2707,-2636,8151,-3031,-2637,7017,-2847,-2549,8137,163,710,537,21,-622,583,852.8,5610.3,0.036,0.134,1.136,-1.947,-0.266,-2.809,478.0,0
250891,2026-08-26_19-55-15.892-240,v3.0.32,3.0,400,-1698,-2294,7420,-2710,-2638,8143,-3030,-2635,7026,-2850,-2551,8129,163,710,537,17,-626,566,844.1,5553.4,0.039,0.132,1.131,-2.967,-0.266,-3.014,473.5,0
250935,2026-08-26_19-55-15.936-240,v3.0.32,3.0,400,-1698,-2294,7420,-2717,-2639,8134,-3030,-2635,7026,-2857,-2552,8120,163,710,537,10,-627,557,838.7,5518.0,0.044,0.128,1.130,-3.382,-0.906,-3.171,470.8,0
250981,2026-08-26_19-55-15.982-240,v3.0.32,3.0,400,-1680,-2288,7411,-2717,-2639,8134,-3011,-2629,7019,-2857,-2552,8120,163,710,537,-9,-633,564,847.9,5578.0,0.036,0.124,1.135,-2.809,-0.438,-3.178,475.5,0
251006,2026-08-26_19-55-15.007-240,v3.0.32,3.0,400,-1696,-2290,7413,-2727,-2640,8146,-3027,-2631,7019,-2867,-2552,8132,163,710,537,-3,-631,576,854.4,5620.8,0.040,0.135,1.134,-2.882,-0.922,-2.991,478.8,0
251042,2026-08-26_19-55-15.043-240,v3.0.32,3.0,400,-1696,-2290,7413,-2727,-2640,8146,-3027,-2631,7019,-2867,-2552,8132,163,710,537,-3,-631,576,854.4,5620.8,0.039,0.116,1.135,-3.056,-0.359,-2.981,478.8,0
