time_ms,timestamp,version,voltage,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,freq,is_muted
18898,2026-08-26_17-23-10.900-240,v3.0.30,3.0,800,-3910,6349,13563,-5888,6453,12834,-6034,6448,12444,-5997,6533,12742,0,0,0,37,85,298,312.1,1026.6,-0.572,0.097,0.893,-2.269,-2.562,1.851,118.9,0
18937,2026-08-26_17-23-10.938-240,v3.0.30,3.0,800,-3763,6368,13599,-5888,6453,12834,-5894,6461,12504,-5997,6533,12742,0,0,0,-103,72,238,269.1,885.3,-0.586,0.049,0.912,-7.559,-2.094,0.377,107.8,0
18999,2026-08-26_17-23-10.000-240,v3.0.30,3.0,800,-3763,6368,13599,-5733,6453,12884,-5894,6461,12504,-5839,6532,12793,0,0,0,55,71,289,302.6,995.5,-0.583,0.037,0.905,-0.633,-1.219,-0.627,116.4,0
19056,2026-08-26_17-23-10.058-240,v3.0.30,3.0,800,-3795,6379,13596,-5733,6453,12884,-5925,6473,12495,-5839,6532,12793,0,0,0,86,59,298,315.7,1038.6,-0.594,0.048,0.871,-5.326,-1.234,-2.193,119.8,0
19103,2026-08-26_17-23-10.105-240,v3.0.30,3.0,800,-3795,6379,13596,-5746,6440,12889,-5925,6473,12495,-5852,6519,12797,0,0,0,73,46,302,314.1,1033.2,-0.600,0.036,0.919,-4.434,-0.672,-2.492,119.4,0
19167,2026-08-26_17-23-10.167-240,v3.0.30,3.0,800,-3812,6365,13575,-5746,6440,12889,-5938,6460,12472,-5852,6519,12797,0,0,0,86,59,325,341.3,1122.8,-0.588,0.017,0.912,-2.725,-0.734,-1.657,126.4,0
19208,2026-08-26_17-23-10.209-240,v3.0.30,3.0,800,-3812,6365,13575,-5811,6453,12848,-5938,6460,12472,-5918,6532,12757,0,0,0,20,72,285,294.6,969.2,-0.609,0.051,0.935,0.368,0.219,-0.050,114.4,0
19280,2026-08-26_17-23-10.281-240,v3.0.30,3.0,800,-3833,6388,13563,-5811,6453,12848,-5957,6484,12456,-5918,6532,12757,0,0,0,39,48,301,307.3,1010.8,-0.625,-0.052,0.972,7.043,1.406,14.012,117.6,0
19313,2026-08-26_17-23-10.313-240,v3.0.30,3.0,800,-3833,6388,13563,-5700,6523,12887,-5957,6484,12456,-5806,6601,12796,0,0,0,151,117,340,390.0,1282.9,-0.629,-0.139,1.006,17.758,3.125,26.788,138.9,0
19400,2026-08-26_17-23-10.400-240,v3.0.30,3.0,800,-3607,6534,13582,-5700,6523,12887,-5733,6622,12509,-5806,6601,12796,0,0,0,-73,-21,287,296.9,976.6,-0.532,-0.072,0.903,75.753,8.469,69.208,114.9,0
19422,2026-08-26_17-23-10.422-240,v3.0.30,3.0,800,-3607,6534,13582,-4470,7043,13211,-5733,6622,12509,-4558,7110,13125,0,0,0,1175,488,616,1413.6,4650.0,-0.532,-0.106,0.804,99.278,8.953,78.486,402.8,0
19514,2026-08-26_17-23-10.515-240,v3.0.30,3.0,800,-1988,7094,13689,-4470,7043,13211,-4138,7121,12876,-4558,7110,13125,0,0,0,-420,-11,249,488.4,1606.5,-0.496,0.511,0.719,127.048,19.016,77.554,164.3,0
19537,2026-08-26_17-23-10.537-240,v3.0.30,3.0,800,1485,7762,13347,-815,7768,13587,-632,7657,13117,-848,7803,13519,0,0,0,-216,146,402,479.1,1576.1,-0.580,0.694,0.699,111.457,21.969,65.518,161.9,0
19629,2026-08-26_17-23-11.630-240,v3.0.30,3.0,800,1485,7762,13347,-815,7768,13587,-632,7657,13117,-848,7803,13519,0,0,0,-216,146,402,479.1,1576.1,-0.607,0.632,0.719,30.611,24.625,-3.167,161.9,0
19651,2026-08-26_17-23-11.652-240,v3.0.30,3.0,800,3535,8370,12663,1591,8461,13115,1521,8188,12781,1589,8470,13067,0,0,0,68,282,286,407.4,1340.0,-0.604,0.571,0.698,22.152,25.406,-17.913,143.4,0
19743,2026-08-26_17-23-11.744-240,v3.0.30,3.0,800,3472,9065,12255,1591,8461,13115,1540,8887,12352,1589,8470,13067,0,0,0,49,-417,715,829.2,2727.5,-0.640,0.514,0.658,-17.556,23.078,-66.940,252.1,0
19835,2026-08-26_17-23-11.836-240,v3.0.30,3.0,800,3472,9065,12255,1475,9252,12620,1540,8887,12352,1462,9255,12580,0,0,0,-78,368,228,439.9,1447.0,-0.729,0.278,0.727,-37.074,15.844,-92.027,151.8,0
19857,2026-08-26_17-23-11.858-240,v3.0.30,3.0,800,1951,9603,12150,1475,9252,12620,65,9485,11974,1462,9255,12580,0,0,0,1397,-230,606,1540.0,5065.9,-0.666,0.194,0.732,-38.258,14.328,-93.671,435.3,0
19939,2026-08-26_17-23-11.940-240,v3.0.30,3.0,800,1951,9603,12150,-322,9813,12193,65,9485,11974,-370,9825,12151,0,0,0,-435,340,177,579.8,1907.2,-0.865,0.042,0.838,-0.655,-0.750,-85.196,187.9,0
19976,2026-08-26_17-23-11.977-240,v3.0.30,3.0,800,278,9647,12229,-322,9813,12193,-1601,9594,11764,-370,9825,12151,0,0,0,1231,231,387,1310.9,4312.2,-0.897,0.246,0.896,5.271,-6.312,-81.401,376.3,0
20044,2026-08-26_17-23-11.045-240,v3.0.30,3.0,800,278,9647,12229,-1873,9683,12222,-1601,9594,11764,-1945,9709,12171,0,0,0,-344,115,407,545.2,1793.3,-0.809,0.293,0.783,-33.409,-18.031,-73.773,178.9,0
20093,2026-08-26_17-23-11.093-240,v3.0.30,3.0,800,-722,9179,12554,-1873,9683,12222,-2653,9163,11924,-1945,9709,12171,0,0,0,708,546,247,927.6,3051.2,-0.870,0.141,0.675,-53.882,-31.594,-68.358,277.5,0
20149,2026-08-26_17-23-11.150-240,v3.0.30,3.0,800,-722,9179,12554,-3297,8875,12369,-2653,9163,11924,-3385,8917,12306,0,0,0,-732,-246,382,861.5,2834.0,-0.884,0.350,0.703,-83.095,-46.969,-68.361,260.5,0
20206,2026-08-26_17-23-11.207-240,v3.0.30,3.0,800,-2388,8100,13044,-3297,8875,12369,-4405,8145,12148,-3385,8917,12306,0,0,0,1020,772,158,1288.9,4239.9,-0.732,0.290,0.621,-110.223,-55.766,-70.506,370.6,0
20253,2026-08-26_17-23-11.254-240,v3.0.30,3.0,800,-2388,8100,13044,-5630,7215,12385,-4405,8145,12148,-5743,7286,12303,0,0,0,-1338,-859,155,1597.5,5255.1,-0.642,0.099,0.592,-156.429,-57.641,-69.287,450.2,0
20320,2026-08-26_17-23-11.321-240,v3.0.30,3.0,800,-5056,6314,12990,-5630,7215,12385,-7073,6456,11688,-5743,7286,12303,0,0,0,1330,830,615,1684.1,5539.6,-0.611,-0.192,0.656,-142.243,-51.172,-42.529,472.5,0
20358,2026-08-26_17-23-11.358-240,v3.0.30,3.0,800,-5056,6314,12990,-9026,5291,10931,-7073,6456,11688,-9186,5393,10837,0,0,0,-2113,-1063,-851,2513.8,8268.9,-0.612,-0.317,0.709,-147.257,-44.062,-22.963,686.3,0
20434,2026-08-26_17-23-11.435-240,v3.0.30,3.0,800,-8264,4798,11718,-9026,5291,10931,-10068,5059,9935,-9186,5393,10837,0,0,0,882,334,902,1305.0,4292.8,-0.669,-0.472,0.899,-90.113,-25.547,33.263,374.8,0
20461,2026-08-26_17-23-11.462-240,v3.0.30,3.0,800,-8264,4798,11718,-11323,4868,8770,-10068,5059,9935,-11527,4981,8684,0,0,0,-1459,-78,-1251,1923.5,6327.2,-0.688,-0.511,0.931,-60.241,-17.328,54.284,534.2,0
20553,2026-08-26_17-23-11.554-240,v3.0.30,3.0,800,-10111,4828,10260,-11323,4868,8770,-11653,5159,8190,-11527,4981,8684,0,0,0,126,-178,494,540.0,1776.3,-0.611,-0.344,0.766,59.190,10.312,110.489,177.6,0
20579,2026-08-26_17-23-11.581-240,v3.0.30,3.0,800,-10111,4828,10260,-11023,6440,8736,-11653,5159,8190,-11235,6541,8659,0,0,0,418,1382,469,1518.1,4993.7,-0.572,-0.201,0.761,76.039,16.078,118.984,429.7,0
20670,2026-08-26_17-23-12.670-240,v3.0.30,3.0,800,-9472,6425,10369,-11023,6440,8736,-11005,6736,8363,-11235,6541,8659,0,0,0,-230,-195,296,422.5,1389.9,-0.763,0.052,0.788,86.533,24.891,124.941,147.3,0
20696,2026-08-26_17-23-12.696-240,v3.0.30,3.0,800,-7015,8554,10897,-8289,8785,9880,-8617,8777,9242,-8470,8856,9817,0,0,0,147,79,575,598.7,1969.5,-0.815,0.061,0.853,72.472,24.984,122.775,192.7,0
20789,2026-08-26_17-23-12.792-240,v3.0.30,3.0,800,-7015,8554,10897,-8289,8785,9880,-8617,8777,9242,-8470,8856,9817,0,0,0,147,79,575,598.7,1969.5,-0.918,-0.316,0.755,70.411,4.391,116.424,192.7,0
20814,2026-08-26_17-23-12.814-240,v3.0.30,3.0,800,-4265,10224,10868,-5529,10576,10111,-5856,10346,9639,-5678,10615,10068,0,0,0,178,269,429,536.7,1765.6,-0.955,-0.301,0.708,100.853,-7.172,114.870,176.8,0
20898,2026-08-26_17-23-12.900-240,v3.0.30,3.0,800,-852,10671,11372,-5529,10576,10111,-2555,10664,10704,-5678,10615,10068,0,0,0,-3123,-49,-636,3187.5,10485.1,-0.787,0.120,0.579,133.115,-40.547,99.093,859.9,0
20984,2026-08-26_17-23-12.985-240,v3.0.30,3.0,800,-852,10671,11372,-1712,10808,11447,-2555,10664,10704,-1794,10822,11410,0,0,0,761,158,706,1050.0,3454.0,-0.608,0.358,0.571,113.077,-64.203,71.168,309.1,0
21020,2026-08-26_17-23-12.021-240,v3.0.30,3.0,800,2809,9644,11943,-1712,10808,11447,949,9493,11917,-1794,10822,11410,0,0,0,-2743,1329,-507,3089.9,10164.1,-0.546,0.486,0.622,105.341,-65.516,55.987,834.8,0
21089,2026-08-26_17-23-12.091-240,v3.0.30,3.0,800,2809,9644,11943,1968,9233,12631,949,9493,11917,1963,9232,12593,0,0,0,1014,-261,676,1246.3,4099.7,-0.491,0.708,0.695,61.179,-57.422,11.028,359.6,0
21130,2026-08-26_17-23-12.131-240,v3.0.30,3.0,800,5411,8037,12224,1968,9233,12631,3441,7781,12681,1963,9232,12593,0,0,0,-1478,1451,-88,2073.1,6819.3,-0.478,0.743,0.738,43.911,-48.500,-22.194,572.7,0
21193,2026-08-26_17-23-12.194-240,v3.0.30,3.0,800,5411,8037,12224,3978,7553,13211,3441,7781,12681,4022,7549,13169,0,0,0,581,-232,488,793.4,2610.0,-0.409,0.758,0.758,15.044,-31.266,-71.599,242.9,0
21248,2026-08-26_17-23-12.249-240,v3.0.30,3.0,800,6148,7119,12472,3978,7553,13211,4110,6832,13075,4022,7549,13169,0,0,0,-88,717,94,728.5,2396.3,-0.388,0.722,0.791,-19.397,-16.234,-108.222,226.2,0
